strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
hCoV-19/Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
hCoV-19/Taiwan/2/2020	EPI_ISL_406031		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al A (https://dx.doi.org/10.1099/acmi.0.000133)
hCoV-19/HongKong/HKPU23_2601/2020	EPI_ISL_417183	MT232669.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
hCoV-19/Thailand/SI200383-NT/2020	EPI_ISL_437622	MT447156.1		Faculty of Medicine	Rodpan et al
hCoV-19/Australia/VIC03/2020	EPI_ISL_416411		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Taiwan/TSGH-36/2020	EPI_ISL_457730		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
hCoV-19/Iceland/13/2020	EPI_ISL_417765	OU161584.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
hCoV-19/SouthKorea/S4/2020	EPI_ISL_485395		University of Ulsan College of Medicine and Asan Medical Center	University of Ulsan College of Medicine and Asan Medical Center	Kuenyoul Park et al
hCoV-19/Australia/VIC47/2020	EPI_ISL_419759		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/NewZealand/20VR2109/2020	EPI_ISL_456378	MZ332209.1	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/NewZealand/20VR1900/2020	EPI_ISL_456301	MZ332063.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/Uganda/UG037/2020	EPI_ISL_737957		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
hCoV-19/Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
hCoV-19/HongKong/HKPU6_2101/2020	EPI_ISL_417178	MT232664.1	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
hCoV-19/Australia/QLDID922/2020	EPI_ISL_418799		Mater Pathology	Public Health Virology Laboratory	Bixing Huang et al
hCoV-19/Lithuania/MR-LUHS-Eilnr104/2020	EPI_ISL_603114		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al
hCoV-19/Japan/OS-20-07-1/2020	EPI_ISL_410532		Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
hCoV-19/USA/IL1/2020	EPI_ISL_404253	MN988713.1	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al (https://dx.doi.org/10.1101/2020.03.09.20032896)
hCoV-19/Malaysia/6359/2020	EPI_ISL_501220		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
hCoV-19/Wuhan/HB-WHCM2-273/2020	EPI_ISL_455409		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Curacao/CW-RIVM-10308/2020	EPI_ISL_636492		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Indonesia/KI-NIHRDC004160/2020	EPI_ISL_984277		National Institute of Health Research and Development	National Institute of Health Research and Development	Kindi Adam et al
